Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cuda:1', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cuda:1', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cuda:1', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
FC2Layer                                 --
©À©¤Linear: 1-1                            25,120
©À©¤Linear: 1-2                            528
©À©¤Linear: 1-3                            170
=================================================================
Total params: 25,818
Trainable params: 25,818
Non-trainable params: 0
=================================================================
Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cuda:1', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
FC2Layer                                 --
©À©¤Linear: 1-1                            25,120
©À©¤Linear: 1-2                            528
©À©¤Linear: 1-3                            170
=================================================================
Total params: 25,818
Trainable params: 25,818
Non-trainable params: 0
=================================================================
Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cuda:1', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
FC2Layer                                 --
©À©¤Linear: 1-1                            25,120
©À©¤Linear: 1-2                            528
©À©¤Linear: 1-3                            170
=================================================================
Total params: 25,818
Trainable params: 25,818
Non-trainable params: 0
=================================================================
Namespace(exp_name='exp', stragglers='salf', stragglers_percent=0.9, up_to_layer=1, data='mnist', num_samples=None, model='mlp', global_epochs=100, device='cpu', num_users=30, lr=0.1, train_batch_size=16, local_iterations=1, norm_mean=0.5, norm_std=0.5, test_batch_size=1000, local_epochs=1, optimizer='sgd', momentum=0.5, seed=1234, eval=False)
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
FC2Layer                                 --
©À©¤Linear: 1-1                            25,120
©À©¤Linear: 1-2                            528
©À©¤Linear: 1-3                            170
=================================================================
Total params: 25,818
Trainable params: 25,818
Non-trainable params: 0
=================================================================
epoch: 0 | train_loss: 2.32 | val_acc: 12%
epoch: 1 | train_loss: 2.31 | val_acc: 13%
epoch: 2 | train_loss: 2.30 | val_acc: 16%
epoch: 3 | train_loss: 2.31 | val_acc: 16%
epoch: 4 | train_loss: 2.29 | val_acc: 15%
epoch: 5 | train_loss: 2.28 | val_acc: 15%
epoch: 6 | train_loss: 2.27 | val_acc: 16%
epoch: 7 | train_loss: 2.25 | val_acc: 20%
epoch: 8 | train_loss: 2.24 | val_acc: 24%
epoch: 9 | train_loss: 2.22 | val_acc: 26%
epoch: 10 | train_loss: 2.21 | val_acc: 32%
epoch: 11 | train_loss: 2.20 | val_acc: 34%
epoch: 12 | train_loss: 2.16 | val_acc: 36%
epoch: 13 | train_loss: 2.16 | val_acc: 33%
epoch: 14 | train_loss: 2.16 | val_acc: 42%
epoch: 15 | train_loss: 2.12 | val_acc: 46%
epoch: 16 | train_loss: 2.07 | val_acc: 47%
epoch: 17 | train_loss: 2.05 | val_acc: 46%
epoch: 18 | train_loss: 2.01 | val_acc: 43%
epoch: 19 | train_loss: 2.01 | val_acc: 44%
epoch: 20 | train_loss: 1.94 | val_acc: 42%
epoch: 21 | train_loss: 1.94 | val_acc: 45%
epoch: 22 | train_loss: 1.86 | val_acc: 46%
epoch: 23 | train_loss: 1.83 | val_acc: 46%
epoch: 24 | train_loss: 1.81 | val_acc: 45%
epoch: 25 | train_loss: 1.76 | val_acc: 49%
epoch: 26 | train_loss: 1.70 | val_acc: 46%
epoch: 27 | train_loss: 1.75 | val_acc: 33%
epoch: 28 | train_loss: 1.83 | val_acc: 30%
epoch: 29 | train_loss: 1.98 | val_acc: 34%
epoch: 30 | train_loss: 1.82 | val_acc: 49%
epoch: 31 | train_loss: 1.63 | val_acc: 54%
epoch: 32 | train_loss: 1.53 | val_acc: 51%
epoch: 33 | train_loss: 1.40 | val_acc: 54%
epoch: 34 | train_loss: 1.43 | val_acc: 55%
epoch: 35 | train_loss: 1.38 | val_acc: 53%
epoch: 36 | train_loss: 1.38 | val_acc: 51%
epoch: 37 | train_loss: 1.42 | val_acc: 55%
epoch: 38 | train_loss: 1.31 | val_acc: 60%
epoch: 39 | train_loss: 1.26 | val_acc: 63%
epoch: 40 | train_loss: 1.19 | val_acc: 57%
epoch: 41 | train_loss: 1.23 | val_acc: 50%
epoch: 42 | train_loss: 1.37 | val_acc: 52%
epoch: 43 | train_loss: 1.37 | val_acc: 46%
epoch: 44 | train_loss: 1.51 | val_acc: 63%
epoch: 45 | train_loss: 1.13 | val_acc: 64%
epoch: 46 | train_loss: 1.09 | val_acc: 64%
epoch: 47 | train_loss: 1.11 | val_acc: 63%
epoch: 48 | train_loss: 1.06 | val_acc: 63%
epoch: 49 | train_loss: 0.98 | val_acc: 65%
epoch: 50 | train_loss: 0.99 | val_acc: 68%
epoch: 51 | train_loss: 0.99 | val_acc: 70%
epoch: 52 | train_loss: 0.87 | val_acc: 69%
epoch: 53 | train_loss: 0.93 | val_acc: 69%
epoch: 54 | train_loss: 0.96 | val_acc: 68%
epoch: 55 | train_loss: 0.94 | val_acc: 54%
epoch: 56 | train_loss: 1.17 | val_acc: 57%
epoch: 57 | train_loss: 1.17 | val_acc: 69%
